id	context	en	fr	de	es	ja	pt	ru	zh
save_game_title	a title for the screen which displays the options to save the game	SAVE GAME	SAUVEGARDER LA PARTIE	SPIEL SPEICHERN	GUARDAR PARTIDA	ゲームを保存	SALVAR JOGO	СОХРАНИТЬ ИГРУ	保存游戏
multiplayer_host_title	a title for the screen which displays the options to host a server	MULTIPLAYER HOST	HÔTE MULTIJOUEUR	MULTIPLAYER-HOST	HOST MULTIJUGADOR	マルチプレイヤー ホスト	HOST MULTIJOGADOR	ХОСТ МУЛЬТИПЛЕЕРА	多人游戏主机
tab_load_game_saves	label for button which opens a screen which displays the options to launch a previous save file	SAVES						СОХРАНЕНИЯ	
tab_load_game_autosaves	label for button which opens a screen which displays the options to launch a previous autosave file	AUTOSAVES						АВТОСОХРАНЕНИЯ	
tab_general	label for button which opens a screen listing options that fit into no specific category	GENERAL	GÉNÉRAL	ALLGEMEIN	GENERAL	一般	GERAL	ОБЩИЕ	常规
tab_friends	label for button which opens a screen listing the user's steam friends' open games	FRIENDS	AMIS	FREUNDE	AMIGOS	友達	AMIGOS	ДРУЗЬЯ	朋友
tab_invite_code	label for button which opens a screen allowing a user to connect to a game with an invite code	INVITE CODE						КОД ПРИГЛАШЕНИЯ	
tab_graphics	label for button which opens a screen listing options related to graphics and rendering	GRAPHICS	GRAPHIES	GRAFIK	GRÁFICOS	グラフィック	GRÁFICOS	ГРАФИКА	图形
tab_audio	label for button which opens a screen listing options related to sounds	AUDIO	SON	AUDIO	AUDIO	オーディオ	ÁUDIO	АУДИО	音频
tab_controls	label for button which opens a screen listing options related to input from keyboard, mouse and gamepad	CONTROLS	COMMANDES	STEUERUNG	CONTROLES	コントロール	CONTROLES	УПРАВЛЕНИЕ	控制
tab_duplicate_local	label for button which opens a screen listing local vehicle files for duplicating	LOCAL						ЛОКАЛЬНЫЕ	
tab_duplicate_workshop	label for button which opens a screen listing workshop vehicle files for duplicating	WORKSHOP						МАСТЕРСКАЯ	
save_last_played	the date and time the save file was created	Last Played	Dernière partie	Zuletzt gespielt	Última partida	最終プレイ	Último jogo	Последняя игра	上次播放
save_version	the verison of the game the save file was created in	Version	Version	Version	Versión	バージョン	Versão	Версия	版本
hour_abbreviation	abbreviated form of hour to display a duration in this format 00h 00m 00s	h	h	h	h	時間	h	ч	h
minute_abbreviation	abbreviated form of minute to display a duration in this format 00h 00m 00s	m	m	m	m	分	m	м	m
second_abbreviation	abbreviated form of second to display a duration in this format 00h 00m 00s	s	s	s	s	秒	s	с	s
profile_body	a heading for the player's body modification settings, including body shape and skin tone	BODY	CORPS	KÖRPER	CUERPO	ボディ	CORPO	ТЕЛО	身体
profile_hair	a heading for the player's hair modification settings, including hair style and color	HAIR	CHEVEUX	HAAR	CABELLO	髪	CABELO	ВОЛОСЫ	头发
options_general_launch	a heading for settings relating to starting the game	LAUNCH	LANCER	STARTEN	INICIAR	起動	INÍCIO	ЗАПУСК	启动
options_general_photosensitivity_warning	a label for the setting which toggles the photosensitivity warning on or off	PHOTOSENSITIVITY WARNING	AVERTISSEMENT DE PHOTOSENSIBILITÉ	WARNHINWEIS VOR LICHTEMPFINDLICHKEIT	AVISO DE FOTOSENSIBILIDAD	光過敏症の警告	AVISO DE FOTOSSENSIBILIDADE	ПРЕДУПРЕЖДЕНИЕ О ФОТОЧУВСТВИТЕЛЬНОСТИ	感光警告
options_general_server	a heading for settings relating to hosting a game	SERVER						СЕРВЕР	
options_general_interface	a heading for settings relating to the UI	INTERFACE	INTERFACE	OBERFLÄCHE	INTERFAZ	インターフェース	INTERFACE	ИНТЕРФЕЙС	界面
options_general_language	a label for the setting which sets the language that all text in the game appears in	LANGUAGE	LANGUE	SPRACHE	IDIOMA	言語	IDIOMA	ЯЗЫК	语言
options_general_tooltip_detail	a label for the setting which controls how much information is shown in the tooltips that appear when the player looks at a component	TOOLTIP DETAIL	DÉTAIL DE L'INFO-BULLE	TOOLTIP-DETAILS	DETALLE DE INFORMACIÓN SOBRE HERRAMIENTAS	ツールチップの詳細	DETALHE DA FERRAMENTA	ПОДСКАЗКА	工具提示详细信息
options_general_control_hints	a label for the setting which controls if control input hints are displayed on the screen or not	CONTROL HINTS						ПОДСКАЗКИ УПРАВЛЕНИЯ	
options_general_show_tutorial	a label for the setting which controls if the tutorial is played again	SHOW TUTORIAL						ПОКАЗЫВАТЬ ОБУЧЕНИЕ	
options_graphics_quality	a heading for graphics settings relating to graphics quality	QUALITY	QUALITÉ	QUALITÄT	CALIDAD	品質	QUALIDADE	КАЧЕСТВО	质量
options_graphics_fxaa	a label for the setting which toggles FXAA on or off	FXAA	FXAA	FXAA	FXAA	FXAA	FXAA	FXAA	FXAA
options_graphics_ssao	a label for the setting which toggles SSAO on or off	SSAO						SSAO	
options_graphics_bloom	a label for the setting which toggles the bloom graphics effect on or off	BLOOM	FLORAISON	BLÜTE	BLOOM	ブルーム	BLOOM	ЦВЕТЕНИЕ	绽放
options_graphics_shadows	a label for the setting which toggles shadow rendering on or off	SHADOWS	OMBRES	SCHATTEN	SOMBRAS	影	SOMBRAS	ТЕНИ	阴影
options_graphics_fog_blur	a label for the setting which toggles the fog blur graphics effect on or off	FOG BLUR	FOU DE BROUILLARD	NEBEL	DESENFOQUE DE NIEBLA	霧のぼかし	FOG BLUR	РАЗМЫТИЕ ТУМАНОМ	雾模糊
options_graphics_clouds	a label for the setting which toggles cloud rendering on or off	CLOUDS	NUAGES	UNSCHÄRFE	NUBES	雲	NUVENS	ОБЛАКА	云
options_graphics_grass	a label for the setting which toggles grass rendering on or off	GRASS						ТРАВА	
options_graphics_window_mode	a label for the setting which sets the window mode (e.g. to fullscreen, windowed etc.)	WINDOW MODE	MODE FENÊTRE	WOLKEN	MODO DE VENTANA	ウィンドウ モード	MODO JANELA	РЕЖИМ ОКНА	窗口模式
options_graphics_resolution	a label for the setting which sets the display resolution for the game	RESOLUTION	RÉSOLUTION	FENSTERMODUS	RESOLUCIÓN	解像度	RESOLUÇÃO	РАЗРЕШЕНИЕ	分辨率
options_graphics_vsync	a label for the setting which toggles VSync on or off	VSYNC	SYNC VIRTUELLE	AUFLÖSUNG	SINCRONIZACIÓN VERTICAL	垂直同期	VSYNC	VSYNC	垂直同步
options_graphics_camera	a heading for graphics settings relating to the camera	CAMERA						КАМЕРА	
options_graphics_render_distance	a label for the setting which modifies the maximum render distance of the camera	RENDER DISTANCE						ДАЛЬНОСТЬ ПРОРИСОВКИ	
options_graphics_fov	a label for the setting which modifies the field of view of the camera	FIELD OF VIEW	CHAMP DE VUE	VSYNC	CAMPO DE VISIÓN	視野角	FOV	FIRST ПЕРСОНА	视野
options_graphics_object_detail	a label for the setting which modifies the distance at which objects become visible	OBJECT DETAIL						ДЕТАЛИЗАЦИЯ ОБЪЕКТОВ	
options_graphics_shadow_quality	a label for the setting which modifies the quality of shadow rendering	SHADOW QUALITY						КАЧЕСТВО ТЕНЕЙ	
options_graphics_shadow_casting_lights	a label for the setting which modifies the amount of shadow casting lights allowable	SHADOW CASTING LIGHTS						ИСТОЧНИКИ ТЕНЕЙ	
options_graphics_quality_low	a label for the low graphics quality preset	LOW						НИЗКОЕ	
options_graphics_quality_medium	a label for the medium graphics quality preset	MEDIUM						СРЕДНЕЕ	
options_graphics_quality_high	a label for the high graphics quality preset	HIGH						ВЫСОКОЕ	
options_graphics_quality_ultra	a label for the ultra graphics quality preset	ULTRA						УЛЬТРА	
options_audio_volume	a heading for the audio settings relating to audio volume	VOLUME	VOLUME	Egoperspektive	VOLUMEN	音量	VOLUME	ГЛАВНАЯ ГРОМКОСТЬ	音量
options_audio_master_volume	a label for the setting which controls the volume of all audio in the game	MASTER VOLUME	VOLUME PRINCIPAL	LAUTSTÄRKE	MAESTRO VOLUMEN	マスター音量	MESTRE VOLUME	ЗВУКИ	主控音量
options_audio_ui	a label for the setting which controls the volume of UI sounds in the game	UI						ИНТЕРФЕЙС	
options_audio_game	a label for the setting which controls the volume of general sounds in the game	GAME						ИГРА	
options_audio_vehicle	a label for the setting which controls the volume of vehicle sounds in the game	VEHICLE						ТРАНСПОРТ	
options_audio_environment	a label for the setting which controls the volume of environment sounds in the game	ENVIRONMENT	ENVIRONNEMENT	TÖNE	AMBIENTE	環境	AMBIENTE	МУЗЫКА	环境
options_audio_music	a label for the setting which controls the volume of background music in the game	MUSIC	MUSIQUE	UMGEBUNG	MÚSICA	音楽	MÚSICA	МЫШЬ	音乐
options_audio_voice	a label for the setting which controls the volume of other player's voices in the game	VOICES						ГОЛОСА	
options_audio_input	a heading for the audio settings relating to audio input	INPUT						ВВОД	
options_audio_microphone	a label for the setting which controls the volume of the player's microphone input	MICROPHONE						МИКРОФОН	
options_audio_push_to_talk	a label for the setting which controls if the player's microphone is push to talk or always recording	PUSH TO TALK						НАЖАТЬ ДЛЯ РАЗГОВОРА	
options_audio_mute	a label for the setting which controls if the player's microphone is muted	MUTE						БЕЗ ЗВУКА	
options_controls_mouse	a heading for the settings relating to the computer mouse	MOUSE	SOURIS	MUSIK	RATÓN	マウス	MOUSE	ИНВЕРСИЯ X	鼠标
options_controls_invert_x	a label for the setting which inverts x-axis input from a computer mouse	INVERT X	INVERSER X	MAUS	INVERTIR X	X 軸反転	INVERTER X	ИНВЕРСИЯ Y	X 轴反转
options_controls_invert_y	a label for the setting which inverts y-axis input from a computer mouse	INVERT Y	INVERSER Y	INVERT X	INVERTIR Y	Y 軸反転	INVERTER Y	ЧУВСТВИТЕЛЬНОСТЬ	Y 轴反转
options_controls_sensitivity	a label for the setting which controls the sensitivity of the computer mouse	SENSITIVITY	SENSIBILITÉ	INVERT Y	SENSIBILIDAD	感度	SENSIBILIDADE	АСПЕКТ	灵敏度
options_controls_aspect	a label for the setting which controls the mouse aspect	ASPECT	ASPECT	EMPFINDLICHKEIT	ASPECTO	アスペクト	ASPECTO	ПЕРСОНАЖ	外观
options_controls_character	a heading for all the controls settings related to first person movement and actions	CHARACTER	PERSONNAGE	AUSRICHTUNG	PERSONAJE	キャラクター	CARACTERE	ТРАНСПОРТНОЕ СРЕДСТВО	角色
options_controls_vehicle	a heading for controls related to operating a vehicle	VEHICLE	VÉHICULE	CHARAKTER	VEHÍCULO	車両	VEÍCULO	ТРАНСПОРТНОЕ СРЕДСТВО - РУЛЬ	车辆
options_controls_vehicle_steering_wheel	a heading for controls related to operating a vehicle with a steering wheel	VEHICLE - STEERING WHEEL	VÉHICULE - VOLANT	FAHRZEUG	VEHÍCULO - VOLANTE	車両 - ステアリング ホイール	VEÍCULO - VOLANTE	ТРАНСПОРТНОЕ СРЕДСТВО - ДЖОЙСТИК ПОЛЕТА	车辆 - 方向盘
options_controls_vehicle_flight_stick	a heading for controls related to operating a vehicle with a flight stick	VEHICLE - FLIGHT STICK	VÉHICULE - MANETTE DE VOL	FAHRZEUG - LENKRAD	VEHÍCULO - PALANCA DE VUELO	車両 - フライト スティック	VEÍCULO - MANCHE DE VOO	ПРЫЖОК	车辆 - 飞行摇杆
binding_digital_jump	an input binding action which initiates the player jumping	JUMP	SAUTER	FAHRZEUG - STEUERKNÜPPEL	SALTAR	ジャンプ	SALTAR	ПРИСЕДАТЬ	跳跃
binding_digital_crouch	an input binding action which initiates the player crouching	CROUCH	S'ACCROCHER	SPRINGEN	AGACHARSE	しゃがむ	AGOCAR-SE	ПРЫГНУТЬ	蹲下
binding_digital_swim_up	an input binding action which initiates the player swimming upwards	SWIM UP	NAGER	DUCKEN	NADAR HACIA ARRIBA	上へ泳ぐ	NADAR PARA CIMA	ПРЫЖОК	游泳
binding_digital_dive	an input binding action which initiates the player swimming downwards	DIVE	PLONGER	HOCHSCHWIMMEN	ZAMBULLIRSE	ダイブ	MERGULHAR	СПРИНТ	潜水
binding_digital_sprint	an input binding action which initiates the player running	SPRINT	SPRINTER	TAUCHEN	SPRINTEAR	スプリント	CORRENCIAR	ПОДНЯТИЕ	冲刺
binding_digital_climb	an input binding action which initiates the player climbing	CLIMB	GRIMPER	SPRINTEN	ESCALAR	登る	ESCALHAR	ВЗАИМОДЕЙСТВИЕ	攀爬
binding_digital_interact	an input binding action which initiates the player interacting with what they are looking at	INTERACT	INTERAGIR	KLETTERN	INTERACTUAR	インタラクト	INTERACIONAR	ПЕРВИЧНЫЙ ПРЕДМЕТ	互动
binding_digital_item_primary	an input binding action which initiates the primary action attached to the player's active item	ITEM PRIMARY	OBJET PRINCIPAL	INTERAGIEREN	OBJETO PRINCIPAL	アイテム プライマリ	ITEM PRINCIPAL	ВТОРИЧНЫЙ ПРЕДМЕТ	主要物品
binding_digital_item_secondary	an input binding action which initiates the secondary action attached to the player's active item	ITEM SECONDARY	OBJET SECONDAIRE	PRIMÄRER GEGENSTAND	OBJETO SECUNDARIO	アイテム セカンダリ	ITEM SECUNDÁRIO	ПЕРЕКЛЮЧЕНИЕ МЕНЮ ИНВЕНТАРЯ	次要物品
binding_digital_inventory_menu_toggle	an input binding action which initiates opening or closing the inventory screen	INVENTORY MENU TOGGLE	BASSER LE MENU INVENTAIRE	SEKUNDÄRER GEGENSTAND	CONMUTACIÓN DEL MENÚ DE INVENTARIO	インベントリ メニュー トグル	INTERACIONAR MENU DE INVENTÁRIO	ПЕРЕКЛЮЧЕНИЕ МЕНЮ ПАУЗЫ	库存菜单切换
binding_digital_pause_menu_toggle	an input binding action which initiates opening or closing the pause menu	PAUSE MENU TOGGLE	BASSER LE MENU PAUSE	INVENTAR-MENÜ-UMSCHALTEN	CONMUTACIÓN DEL MENÚ DE PAUSA	一時停止 メニュー トグル	INTERACIONAR MENU DE PAUSA	ПАНЕЛЬ ИНСТРУМЕНТОВ ВЛЕВО	暂停菜单切换
binding_digital_toolbar_left	an input binding action which initiates scrolling left along the hotbar	TOOLBAR LEFT	BARRE D'OUTILS GAUCHE	PAUSE-MENÜ-UMSCHALTEN	BARRA DE HERRAMIENTAS IZQUIERDA	ツールバー 左	BARRA DE FERRAMENTAS ESQUERDA	ПАНЕЛЬ ИНСТРУМЕНТОВ ВПРАВО	左侧工具栏
binding_digital_toolbar_right	an input binding action which initiates scrolling right along the hotbar	TOOLBAR RIGHT	BARRE D'OUTILS DROITE	SYMBOLLEISTE LINKS	BARRA DE HERRAMIENTAS DERECHA	ツールバー 右	BARRA DE FERRAMENTAS DIREITA	ПЕРЕЗАГРУЗКА	右侧工具栏
binding_digital_reload	an input binding action which initiates reloading a gun	RELOAD	RECHARGER	SYMBOLLEISTE RECHTS	RECARGAR	リロード	RECARREGAR	БРОСИТЬ	重新加载
binding_digital_drop	an input binding action which initiates releasing the active item from the player's hands or inventory into the world	DROP	LAISSER TOMBER	NEULADEN	SOLTAR	ドロップ	SOLTAR	ПОВОРОТ ВЛЕВО	放下
binding_digital_rotate_left	an input binding action which initiates rotating an object leftwards from the viewpoint of the player	ROTATE LEFT	ROTATION À GAUCHE	FALLEN	ROTAR A LA IZQUIERDA	左に回転	GIRAR ESQUERDA	ПОВОРОТ ВВЕРХ	向左旋转
binding_digital_rotate_right	an input binding action which initiates rotating an object rightwards from the viewpoint of the player	ROTATE RIGHT	ROTATION À DROITE	LINKS DREHEN	ROTAR A LA DERECHA	右に回転	GIRAR DIREITA	ПОВОРОТ ВНИЗ	向右旋转
binding_digital_rotate_up	an input binding action which initiates rotating an object upwards from the viewpoint of the player	ROTATE UP	ROTATION VERS LE HAUT	RECHTS DREHEN	ROTAR HACIA ARRIBA	上に回転	GIRAR PARA CIMA	ВЫЙТИ С МЕСТА	向上旋转
binding_digital_rotate_down	an input binding action which initiates rotating an object downwards from the viewpoint of the player	ROTATE DOWN	ROTATION VERS LE BAS	HOCH DREHEN	ROTAR HACIA ABAJO	下に回転	GIRAR PARA BAIXO	ПРОГРАММИРУЕМЫЙ 2	向下旋转
binding_digital_exit_seat	an input binding action which initiates the player getting out of a seat	EXIT SEAT	SORTIR DU SIÈGE	UNTEN DREHEN	SALIDA DEL ASIENTO	座席から出る	SAIR DO ASSENTO	ПРОГРАММИРУЕМЫЙ 3	退出座位
binding_digital_program_button_1	an input binding action which can be assigned to different actions at the players descretion	PROGRAM 1	PROGRAMMABLE 2	SITZ VERLASSEN	PROGRAMABLE 2	プログラム可能 2	PROGRAMÁVEL 2	ПРОГРАММИРУЕМЫЙ 4	可编程 2
binding_digital_program_button_2	an input binding action which can be assigned to different actions at the players descretion	PROGRAM 2	PROGRAMMABLE 3	PROGRAMMIERBAR 2	PROGRAMABLE 3	プログラム可能 3	PROGRAMÁVEL 3	ПРОГРАММИРУЕМЫЙ 5	可编程 3
binding_digital_program_button_3	an input binding action which can be assigned to different actions at the players descretion	PROGRAM 3	PROGRAMMABLE 4	PROGRAMMIERBAR 3	PROGRAMABLE 4	プログラム可能 4	PROGRAMÁVEL 4	ДВИЖЕНИЕ X	可编程 4
binding_digital_push_to_talk	an input binding action which activates voice recording in game	PUSH TO TALK						НАЖАТЬ ДЛЯ РАЗГОВОРА	
binding_axis_character_move_x	an input binding to control player movement along the horizontal axis	MOVE X	DÉPLACER X	PROGRAMMIERBAR 5	MOVER X	X 軸移動	MOVER X	ПРОСМОТРЕТЬ X	X 轴移动
binding_axis_character_move_y	an input binding to control player movement along the vertical axis	MOVE Y	DÉPLACER Y	BEWEGUNG X	MOVER Y	Y 軸移動	MOVER Y	ПРОСМОТРЕТЬ Y	Y 轴移动
binding_axis_character_look_x	an input binding to control camera rotation leftward and rightward relative to the player's view direction	VIEW X	VUE X	BEWEGUNG Y	VER X	X 軸ビュー	VISUALIZAR X	РУЛЕВОЕ УПРАВЛЕНИЕ	X 轴视图
binding_axis_character_look_y	an input binding to control camera rotation upward and downward relative to the player's view direction	VIEW Y	VUE Y	ANSICHT X	VER Y	Y 軸ビュー	VISUALIZAR Y	ЛЕВАЯ ПЕДАЛЬ	Y 轴视图
binding_axis_steering_axis_1	an input binding to control left and right movement of a steering wheel	STEERING	VOLANT	ANSICHT Y	DIRECCIÓN	ステアリング	DIREÇÃO	ПРАВАЯ ПЕДАЛЬ	转向
binding_axis_steering_axis_3	an input binding to control the left pedal of a steering wheel	LEFT PEDAL	PÉDALE GAUCHE	LENKUNG	PEDAL IZQUIERDO	左ペダル	PEDAL ESQUERDO	КРУГ	左侧踏板
binding_axis_steering_axis_4	an input binding to control the right pedal of a steering wheel	RIGHT PEDAL	PÉDALE DROITE	LINKES PEDAL	PEDAL DERECHO	右ペダル	PEDAL DIREITO	НАКЛОН	右侧踏板
binding_axis_flight_axis_1	an input binding to control left and right movement of a flight stick	ROLL	ROULIS	RECHTES PEDAL	ROLLO	ロール	ROLAR	ЛЕВАЯ ПЕДАЛЬ	滚动
binding_axis_flight_axis_2	an input binding to control forward and backward movement of a flight stick	PITCH	TANGAGE	ROLLEN	CABECEO	ピッチ	INCLINAR	ПРАВАЯ ПЕДАЛЬ	俯仰
binding_axis_flight_axis_3	an input binding to control the left pedal of a steering wheel	LEFT PEDAL	PÉDALE GAUCHE	NEIGUNG	IZQUIERDA PEDAL	左ペダル	ESQUERDA PEDAL	### ОТРИЦАТЕЛЬНЫЙ	左踏板
binding_axis_flight_axis_4	an input binding to control the right pedal of a steering wheel	RIGHT PEDAL	PÉDALE DROITE	LINKES PEDAL	PEDAL DERECHO	右ペダル	PEDAL DIREITO	### ПОЛОЖИТЕЛЬНЫЙ	右踏板
binding_negative	a modifier for an axial input binding to refer to exclusively the negative end of the axis input. the first gap (###) is the name of the input	### NEGATIVE	### NÉGATIF	RECHTS PEDAL	### NEGATIVO	### 負	### NEGATIVO	НЕ НАЗНАЧЕНО	### 负
binding_positive	a modifier for an axial input binding to refer to exclusively the positive end of the axis input. the first gap (###) is the name of the input	### POSITIVE	### POSITIF	### NEGATIV	### POSITIVO	### 正	### POSITIVO	Устраните конфликты привязок для применения	### 正
binding_unassigned	a label to describe an action that has no keyboard, mouse or gamepad input assigned to it	UNASSIGNED	NON ASSIGNÉ	### POSITIV	SIN ASIGNAR	未割り当て	NÃO ATRIBUÍDO	Чтобы изменения вступили в силу, необходимо применить настройки	未分配
binding_resolve_conflicting_bindings_to_apply	a prompt message telling the user that they need to resolve conflicting input bindings before they can apply their control settings changes	Resolve conflicting bindings to apply	Résoudre les conflits d'affectation Appliquer	NICHT ZUGEWIESEN	Resolver las asignaciones conflictivas para aplicar	適用するには競合するバインドを解決してください	Resolva as vinculações conflitantes para aplicar	### привязан к ###	解决冲突的绑定以应用
binding_settings_must_be_applied_for_changes_to_take_effect	a prompt message telling the user that they need to apply changes to their settings for them to take effect	Settings must be applied for changes to take effect	Les paramètres doivent être appliqués pour que les modifications prennent effet.	Lösen Sie widersprüchliche Bindungen, um sie anzuwenden.	Los cambios deben aplicarse para que surtan efecto	変更を有効にするには設定を適用する必要があります	As configurações devem ser aplicadas para que as alterações entrem em vigor	Нажмите клавишу для повторной привязки	必须应用设置才能使更改生效
rebind_is_bound_to	a statement explaining which input is bound to which action. the first gap (###) is the name of the action and the second gap (###) is the name of the input	### is bound to ###	### est lié à ###	Einstellungen müssen angewendet werden, damit Änderungen wirksam werden.	### está asignado a ###	### は ### にバインドされています	### está vinculado a ###	Нажмите клавишу/кнопку мыши для повторной привязки	### 已绑定到 ###
rebind_press_key_to_rebind	a prompt explaining the action the user needs to take with the keyboard to register an input to an action	Press key to rebind	Appuyer sur la touche pour réassocier	### ist an ### gebunden.	Pulsar la tecla para reasignar	再バインドするにはキーを押してください	Pressione a tecla para revincular	Нажмите кнопку геймпада для повторной привязки	按下 键重新绑定
rebind_press_key_mouse_button_to_rebind	a prompt explaining the action the user needs to take with the keyboard or mouse to register an input to an action	Press key/mouse button to rebind	Appuyer sur la touche/le bouton de la souris pour réassocier	Taste drücken, um die Bindung neu zu binden.	Pulsar la tecla/botón del ratón para reasignar	再バインドするにはキー/マウス ボタンを押してください	Pressione a tecla/botão do mouse para revincular	Нажмите ### на клавиатуре или ### на геймпаде для отмены	按下 键/鼠标按钮重新绑定
rebind_press_gamepad_button_to_rebind	a prompt explaining the action the user needs to take with the gamepad to register an input to an action	Press gamepad button to rebind	Appuyer sur le bouton de la manette pour réassocier	Taste/Maustaste drücken, um die Bindung neu zu binden.	Pulsar el botón del mando para reasignar	再バインドするにはゲームパッド ボタンを押してください	Pressione o botão do controle para revincular	Очистить привязку	按下游戏手柄按钮重新绑定
rebind_press_esc_on_keyboard_or_start_on_gamepad_to_cancel	a statement explaining that pressing certain keys or buttons will cancel the action. the first gap (###) is the name of the keyboard key that will cancel the action and the second gap (###) is the name of the gamepad button which will cancel the action	Press ### on keyboard or ### on gamepad to cancel	Appuyer sur ### sur le clavier ou ### sur la manette pour annuler	Gamepad-Taste drücken, um die Bindung neu zu binden.	Pulsar ### en el teclado o ### en el mando para cancelar	キャンセルするにはキーボードの ### またはゲームパッドの ### を押してください	Pressione ### no teclado ou ### no controle para cancelar	Вы уверены, что хотите очистить привязку для ###?	按下键盘上的 ### 或游戏手柄上的 ### 取消
unbind_title	a title summarising the act of deregistering an input from an action	Clear Binding	Supprimer l'association	### auf der Tastatur oder ### auf dem Gamepad drücken, um abzubrechen.	Borrar asignación	バインドをクリア	Limpar vinculação	Оконный	清除绑定
unbind_are_you_sure_you_want_to_clear_the_bind_for	a yes-no question asking the user if they want to deregister an input from an action. the first gap (###) is the name of the action	Are you sure you want to clear the bind for ###?	Êtes-vous sûr de vouloir annuler l'association pour ### ?	Bindung löschen	¿Seguro que quieres borrar la asignación de ###?	### のバインドをクリアしてもよろしいですか?	Tem certeza de que deseja limpar a vinculação para ###?	Полноэкранный	您确定要清除 ### 的绑定吗？
window_mode_windowed	a label to describe the window mode when the game is displayed in only a portion of the screen	Windowed	Fenêtré	Möchten Sie die Bindung für ### wirklich löschen?	En ventana	ウィンドウ表示	Em janela	Выкл	窗口
